序號,英文名稱,中文名稱,中國大陸譯名,來源網站
423,iris,虹膜(片)；虹彩；暈彩；光圈；暈色；彩虹；窗孔；光闌；隔膜；虹膜,虹膜,https://terms.naer.edu.tw/
424,iron deficiency anemia,缺鐵性貧血,缺铁性贫血,https://terms.naer.edu.tw/
425,ischium,坐骨；座節,坐骨,https://terms.naer.edu.tw/
426,isolation,分離；隔離；游離；絕緣；介質；孤立；單獨,隔离,https://terms.naer.edu.tw/
427,jaundice,黃疸,黄疸,https://terms.naer.edu.tw/
428,joints of hand,手關節(Articuli manus),手关节,https://terms.naer.edu.tw/
429,kala-azar,黑熱病(感染症),黑热病,https://terms.naer.edu.tw/
430,kidney,腎,肾,https://terms.naer.edu.tw/
431,knee joint,膝關節；膝接合(接頭),膝关节,https://terms.naer.edu.tw/
432,lacrimal fluid,淚液,泪液,https://terms.naer.edu.tw/
433,lacrimal gland,淚腺,泪腺,https://terms.naer.edu.tw/
434,lacrimal passages,淚道,泪道,https://terms.naer.edu.tw/
435,lactose,乳糖,乳糖,https://terms.naer.edu.tw/
436,Lactose intolerance,乳糖不耐症,乳糖不耐症,https://terms.naer.edu.tw/
437,Lactulose,乳酮糖,异构乳糖,https://terms.naer.edu.tw/
438,lambdoid suture,人字縫,人字缝,https://terms.naer.edu.tw/
439,larynx,喉,喉,https://terms.naer.edu.tw/
440,late abortion,晚期流產,小产,https://terms.naer.edu.tw/
441,lateral malleolus,外踝,外踝,https://terms.naer.edu.tw/
442,lateral ventricle,側腦室,侧脑室,https://terms.naer.edu.tw/
443,latissimus dorsi,闊背肌,背阔肌,https://terms.naer.edu.tw/
444,left atrium,左心房,左心房,https://terms.naer.edu.tw/
445,left ventricle,左心室,左心室,https://terms.naer.edu.tw/
446,legal medical expert,法律醫學專家,法医,https://terms.naer.edu.tw/
447,lens,晶狀體；鏡頭；透鏡；水晶體,晶状体,https://terms.naer.edu.tw/
448,leprosy,痲瘋,麻风,https://terms.naer.edu.tw/
449,lesion,病灶,病变,https://terms.naer.edu.tw/
450,leukemia,白血病,白血病,https://terms.naer.edu.tw/
451,leukocyte,白血球,白细胞,https://terms.naer.edu.tw/
452,life,生活；生命,生命,https://terms.naer.edu.tw/
453,life expectancy,壽命,预期寿命,https://terms.naer.edu.tw/
454,life table,生命表；壽命表； 耐用年限表,生命表,https://terms.naer.edu.tw/
455,ligamenta flava,弓狀韌帶,黄韧带,https://terms.naer.edu.tw/
456,linea alba,白線[腹]；白紋,腹白线,https://terms.naer.edu.tw/
457,lipids,酯類,脂类,https://terms.naer.edu.tw/
458,lithiasis,結石[病],结石,https://terms.naer.edu.tw/
459,liver,肝,肝,https://terms.naer.edu.tw/
460,liver cancer,肝癌,肝癌,https://terms.naer.edu.tw/
461,loose connective tissue,疏鬆性結締組織,疏松结缔组织,https://terms.naer.edu.tw/
462,low density lipoprotein,低密度脂蛋白,低密度脂蛋白,https://terms.naer.edu.tw/
463,lumbar vertebra,腰部椎骨,腰椎,https://terms.naer.edu.tw/
464,lung,肺,肺,https://terms.naer.edu.tw/
465,lung cancer,肺癌,肺癌,https://terms.naer.edu.tw/
466,lymph node,淋巴結,淋巴结,https://terms.naer.edu.tw/
467,lymphatic system,淋巴系；淋巴系統,淋巴系统,https://terms.naer.edu.tw/
468,lymphatic tissue,淋巴組織,淋巴组织,https://terms.naer.edu.tw/
469,lymphoid organ,淋巴器官,淋巴器官,https://terms.naer.edu.tw/
470,major salivary glands,主要唾液線,大唾液腺,https://terms.naer.edu.tw/
